X,Y
0.0,1.42
0.2,1.16
0.41,0.37
0.61,-1.2
0.82,-0.58
1.02,1.02
1.22,1.48
1.43,0.62
1.63,0.23
1.84,-0.85
2.04,1.16
2.24,1.48
2.45,-0.9
2.65,1.23
2.86,1.14
3.06,1.38
3.27,-1.04
3.47,-0.4
3.67,-0.41
3.88,1.42
4.08,-0.44
4.29,1.36
4.49,2.63
4.69,1.98
4.9,1.29
5.1,4.75
5.31,4.17
5.51,7.56
5.71,8.05
5.92,11.83
6.12,15.42
6.33,15.29
6.53,17.39
6.73,19.67
6.94,21.02
7.14,23.09
7.35,22.69
7.55,25.42
7.76,23.31
7.96,23.62
8.16,24.46
8.37,25.7
8.57,23.38
8.78,23.44
8.98,24.09
9.18,26.45
9.39,26.46
9.59,23.63
9.8,23.71
10.0,24.3
