X,Y
0.0,5.46
0.2,4.91
0.41,5.0
0.61,4.21
0.82,3.49
1.02,6.19
1.22,3.65
1.43,6.44
1.63,7.46
1.84,4.17
2.04,8.45
2.24,6.77
2.45,8.54
2.65,10.77
2.86,11.12
3.06,10.25
3.27,7.67
3.47,9.23
3.67,12.73
3.88,13.81
4.08,12.52
4.29,14.96
4.49,14.46
4.69,15.19
4.9,18.91
5.1,17.76
5.31,20.91
5.51,21.38
5.71,21.71
5.92,21.58
6.12,23.86
6.33,26.84
6.53,29.16
6.73,31.58
6.94,33.81
7.14,39.0
7.35,38.78
7.55,44.67
7.76,45.31
7.96,50.14
8.16,56.67
8.37,59.92
8.57,65.94
8.78,69.12
8.98,74.49
9.18,79.0
9.39,87.15
9.59,96.65
9.8,101.04
10.0,113.29
