X,Y
0.0,32.14
0.2,28.71
0.41,31.07
0.61,21.02
0.82,24.35
1.02,24.95
1.22,16.09
1.43,20.7
1.63,15.32
1.84,17.82
2.04,14.86
2.24,15.98
2.45,7.47
2.65,5.74
2.86,5.01
3.06,12.06
3.27,3.52
3.47,10.26
3.67,9.41
3.88,5.61
4.08,7.22
4.29,5.12
4.49,10.12
4.69,0.69
4.9,5.89
5.1,2.3
5.31,4.27
5.51,8.71
5.71,5.17
5.92,0.94
6.12,8.91
6.33,8.19
6.53,9.97
6.73,11.07
6.94,9.77
7.14,8.63
7.35,8.01
7.55,8.27
7.76,8.53
7.96,17.36
8.16,13.21
8.37,12.66
8.57,18.12
8.78,19.94
8.98,22.23
9.18,25.21
9.39,28.5
9.59,30.47
9.8,25.42
10.0,33.83
