X,Y
0.0,7.35
0.2,5.37
0.41,5.67
0.61,4.81
0.82,9.39
1.02,7.4
1.22,6.8
1.43,10.29
1.63,8.77
1.84,8.75
2.04,7.73
2.24,8.78
2.45,8.36
2.65,12.04
2.86,10.0
3.06,11.3
3.27,11.76
3.47,10.38
3.67,12.26
3.88,13.5
4.08,15.84
4.29,12.01
4.49,16.41
4.69,16.01
4.9,17.63
5.1,16.02
5.31,16.88
5.51,15.07
5.71,14.62
5.92,15.26
6.12,17.55
6.33,18.38
6.53,20.58
6.73,19.35
6.94,19.42
7.14,21.52
7.35,19.84
7.55,20.16
7.76,19.7
7.96,21.27
8.16,19.4
8.37,19.85
8.57,20.33
8.78,23.61
8.98,22.6
9.18,25.18
9.39,23.86
9.59,22.45
9.8,25.93
10.0,27.48
