X,Y
0.2,0.22
0.41,1.1
0.61,1.89
0.82,2.27
1.02,2.53
1.22,2.37
1.43,2.74
1.63,3.29
1.84,3.37
2.04,3.38
2.24,4.04
2.45,4.13
2.65,4.24
2.86,4.55
3.06,4.92
3.27,5.01
3.47,4.54
3.67,4.84
3.88,5.05
4.08,5.39
4.29,5.25
4.49,5.76
4.69,5.79
4.9,6.19
5.1,5.77
5.31,5.97
5.51,5.55
5.71,6.15
5.92,6.25
6.12,6.75
6.33,6.5
6.53,6.04
6.73,6.68
6.94,6.91
7.14,6.25
7.35,6.46
7.55,6.51
7.76,7.04
7.96,7.29
8.16,7.54
8.37,6.68
8.57,7.5
8.78,6.98
8.98,7.84
9.18,7.13
9.39,7.82
9.59,7.45
9.8,7.85
10.0,7.34
