X,Y
0.0,0.18
0.2,0.59
0.41,0.05
0.61,0.73
0.82,0.23
1.02,0.7
1.22,0.11
1.43,0.14
1.63,0.24
1.84,0.1
2.04,0.74
2.24,0.53
2.45,0.36
2.65,0.86
2.86,1.11
3.06,0.6
3.27,0.83
3.47,1.22
3.67,1.4
3.88,2.18
4.08,2.46
4.29,2.59
4.49,3.2
4.69,4.66
4.9,5.24
5.1,5.67
5.31,6.83
5.51,7.03
5.71,7.63
5.92,8.2
6.12,8.62
6.33,9.43
6.53,9.77
6.73,9.77
6.94,9.54
7.14,9.76
7.35,9.73
7.55,10.36
7.76,10.12
7.96,10.56
8.16,10.07
8.37,10.46
8.57,10.48
8.78,10.6
8.98,10.43
9.18,10.03
9.39,10.05
9.59,10.0
9.8,10.71
10.0,10.53
