X,Y
0.0,6.73
0.2,6.31
0.41,5.68
0.61,4.94
0.82,4.37
1.02,4.13
1.22,4.0
1.43,3.89
1.63,3.13
1.84,3.49
2.04,3.23
2.24,3.54
2.45,2.59
2.65,2.87
2.86,2.33
3.06,2.94
3.27,2.85
3.47,2.83
3.67,2.58
3.88,2.11
4.08,2.59
4.29,2.48
4.49,2.38
4.69,2.29
4.9,2.14
5.1,1.85
5.31,1.86
5.51,2.62
5.71,1.88
5.92,2.25
6.12,2.58
6.33,1.93
6.53,2.17
6.73,2.08
6.94,1.92
7.14,1.74
7.35,2.12
7.55,2.09
7.76,1.87
7.96,2.44
8.16,2.03
8.37,2.23
8.57,2.18
8.78,2.02
8.98,1.73
9.18,1.94
9.39,1.61
9.59,2.32
9.8,1.77
10.0,1.51
