X,Y
0.0,-0.41
0.2,-0.16
0.41,-0.13
0.61,-0.08
0.82,0.59
1.02,0.52
1.22,0.7
1.43,0.75
1.63,1.29
1.84,1.04
2.04,1.54
2.24,1.41
2.45,1.74
2.65,1.69
2.86,1.75
3.06,1.26
3.27,1.29
3.47,1.06
3.67,0.86
3.88,0.61
4.08,0.55
4.29,0.55
4.49,0.17
4.69,0.27
4.9,-0.27
5.1,-0.34
5.31,-0.36
5.51,-0.42
5.71,-0.63
5.92,-0.46
6.12,-0.14
6.33,-0.15
6.53,-0.3
6.73,-0.09
6.94,0.23
7.14,0.17
7.35,0.56
7.55,0.85
7.76,1.1
7.96,1.31
8.16,1.5
8.37,1.66
8.57,1.31
8.78,1.38
8.98,1.65
9.18,1.67
9.39,1.26
9.59,1.38
9.8,0.93
10.0,1.0
